Прометей,506,Брянцева ул. д. 4; д. 6; д. 7 к. 1; д. 12; д. 16; д. 18
Прометей,506,Просвещения пр. д. 75
Гражданка,549,Северный пр. д. 83; д. 85 к. 1
Гражданка,549,"Софьи Ковалевской ул. д. 13; д. 13 к. 1, 2; д. 15 к. 1, 2, 3, 4"
Гражданка,550,"Северный пр. д. 87 к. 1, 4; д. 89 к. 1, 2, 3"
Гражданка,550,Софьи Ковалевской ул. д. 13 к. 4; д. 15 к. 5
Гражданка,551,"Северный пр. д. 89 к. 4; д. 91 к. 1, 2, 3, 4, 5; д. 93"
Гражданка,552,"Карпинского ул. д. 34 к. 1, 2; д. 36 к. 1, 2, 3; д. 38 к. 2, 3, 5, 7"
Волковское,2037,"Прилукская улица, дома: 25, 27, 29"
Волковское,2037,"Расстанная улица, дома: 10, 13, 16, 18, 19, 23, 25, 26"
Волковское,2037,"Курская улица, дома: 31"
Волковское,2037,"Тамбовская улица, дома: 4, 6, 8, 20, 26, 30, 36, 40, 46, 52, 58, 66, 67, 69, 70/33, 71-73, 72, 75, 76, 78, 91"
Волковское,2038,"Боровая улица, дома: 47 к3, 53 к1, 53 к3, 59-61, 72, 74, 76, 78, 84, 86"
Волковское,2038,"Воронежская улица, дома: 53 к1, 55, 57, 59-61, 76, 84, 86, 92, 94, 98"
Волковское,2038,"Курская улица, дома: 5, 11/72, 13/193"
Волковское,2038,"Лиговский проспект, дома: 201, 203-207, 211, 215, 225"
Волковское,2038,"Набережная Обводного канала, дома: 66"
Волковское,2038,"Прилукская улица, дома: 12"
Волковское,2039,"Боровая улица, дома: 88, 94, 96, 100, 110"
Волковское,2039,"Воронежская улица, дома: 69, 83, 110, 116, 122"
Волковское,2039,"Лиговский проспект, дома: 228, 233, 235, 237, 247, 255, 257, 259, 261, 263, 267, 275, 277, 279"
Волковское,2039,"Прилукская улица, дома: 13"
Гражданка,553,"Софьи Ковалевской ул. д. 7 к. 1, 5; д. 9 к. 2, 3; д. 11 к. 1, 2, 3, 4, 5, 6, 7; д. 13 к. 3"
Гражданка,554,"Карпинского ул. д. 28 к. 8; д. 34 к. 3, 4, 5, 6; д. 36 к. 4, 5, 6, 7"
Гражданка,555,"Верности ул. д. 16; д. 18; д. 20; д. 22; д. 24; д. 26; д. 28 к. 1, 3; д. 30"
Гражданка,555,Карпинского ул. д. 6; д. 8; д. 10; д. 12; д. 14; д. 18
Гражданка,556,Науки пр. д. 45 к. 2; д. 47; д. 47 к. 2; д. 49; д. 51; д. 53; д. 55; д. 57; д. 59; д. 61; д. 63; д. 65; д. 67
Гражданка,557,Науки пр. д. 22; д. 26
Гражданка,557,"Софьи Ковалевской ул. д. 5 к. 1, 2, 3, 4, 5, 6, 7; д. 7 к. 2, 3, 4"
Гражданка,558,"Карпинского ул. д. 26; д. 28 к. 6, 7"
Гражданка,558,"Науки пр. д. 28; д. 28 к. 1, 2, 3; д. 30 к. 1; д. 32; д. 34"
Гражданка,559,"Карпинского ул. д. 20; д. 22; д. 24; д. 28 к. 1, 2, 3, 4, 5; д. 32"
Гражданка,559,Науки пр. д. 40; д. 42
